Time [ms];Mass flow rate [g/s]
0.3072;2.10621846279
0.3076;2.10637129792
0.308;2.10652596212
0.3084;2.10668245021
0.3088;2.10684075695
0.3092;2.10700087697
0.3096;2.10716280483
0.31;2.107326535
0.3104;2.10749206187
0.3108;2.10765937972
0.3112;2.10782848276
0.3116;2.10799936509
0.312;2.10817202076
0.3124;2.10834644369
0.3128;2.10852262773
0.3132;2.10870056666
0.3136;2.10888025415
0.314;2.1090616838
0.3144;2.10924484911
0.3148;2.1094297435
0.3152;2.10961636032
0.3156;2.1098046928
0.316;2.10999473414
0.3164;2.11018647739
0.3168;2.11037675914
0.3172;2.11056776597
0.3176;2.11076045287
0.318;2.1109548126
0.3184;2.11115083781
0.3188;2.11134852109
0.3192;2.11154785493
0.3196;2.11174883176
0.32;2.11195144393
0.3204;2.11215568369
0.3208;2.11236154322
0.3212;2.11256901464
0.3216;2.11277808997
0.322;2.11298876116
0.3224;2.11320102008
0.3228;2.11341485853
0.3232;2.11363026823
0.3236;2.11384724083
0.324;2.11406576789
0.3244;2.11428584091
0.3248;2.11450745132
0.3252;2.11473059046
0.3256;2.11495524961
0.326;2.11518141997
0.3264;2.11540909267
0.3268;2.11563825877
0.3272;2.11586890927
0.3276;2.11610103508
0.328;2.11633462704
0.3284;2.11656864141
0.3288;2.11680131734
0.3292;2.11703543085
0.3296;2.11727097249
0.33;2.11750793278
0.3304;2.11774630214
0.3308;2.11798607095
0.3312;2.11822722951
0.3316;2.11846976806
0.332;2.11871367677
0.3324;2.11895894577
0.3328;2.11920556509
0.3332;2.11945352473
0.3336;2.11970281461
0.334;2.1199534246
0.3344;2.1202053445
0.3348;2.12045856405
0.3352;2.12071307295
0.3356;2.12096886083
0.336;2.12122591724
0.3364;2.1214842317
0.3368;2.12174379367
0.3372;2.12200459255
0.3376;2.12226661768
0.338;2.12252985835
0.3384;2.12279430381
0.3388;2.12305994321
0.3392;2.12332676571
0.3396;2.12359476038
0.34;2.12386391623
0.3404;2.12413414182
0.3408;2.12440204499
0.3412;2.12467107532
0.3416;2.12494122165
0.342;2.12521247274
0.3424;2.12548481733
0.3428;2.12575824408
0.3432;2.12603274164
0.3436;2.1263082986
0.344;2.12658490349
0.3444;2.12686254481
0.3448;2.12714121103
0.3452;2.12742089055
0.3456;2.12770157175
0.346;2.12798324295
0.3464;2.12826589246
0.3468;2.12854950851
