#Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
194.00	60.000	119.78	0.0083488	118.83	168.92	5.0527	0.79283	1.4228	283.29	0.38326	1.4818e-05	0.023766	supercritical
194.67	60.000	119.10	0.0083961	119.49	169.87	5.0575	0.79220	1.4174	283.96	0.38111	1.4838e-05	0.023779	supercritical
195.33	60.000	118.44	0.0084433	120.15	170.81	5.0624	0.79157	1.4121	284.63	0.37897	1.4857e-05	0.023793	supercritical
196.00	60.000	117.78	0.0084903	120.81	171.75	5.0672	0.79096	1.4070	285.29	0.37684	1.4878e-05	0.023807	supercritical
196.67	60.000	117.14	0.0085371	121.47	172.69	5.0719	0.79036	1.4020	285.95	0.37473	1.4898e-05	0.023823	supercritical
197.33	60.000	116.50	0.0085838	122.12	173.62	5.0767	0.78977	1.3971	286.61	0.37263	1.4918e-05	0.023838	supercritical
198.00	60.000	115.87	0.0086303	122.77	174.55	5.0814	0.78919	1.3923	287.27	0.37054	1.4939e-05	0.023855	supercritical
198.67	60.000	115.25	0.0086766	123.42	175.48	5.0860	0.78863	1.3876	287.92	0.36847	1.4960e-05	0.023872	supercritical
199.33	60.000	114.64	0.0087228	124.07	176.40	5.0907	0.78807	1.3830	288.57	0.36640	1.4981e-05	0.023889	supercritical
200.00	60.000	114.04	0.0087689	124.71	177.32	5.0953	0.78753	1.3786	289.22	0.36436	1.5003e-05	0.023907	supercritical
200.67	60.000	113.45	0.0088148	125.35	178.24	5.0999	0.78699	1.3742	289.87	0.36232	1.5025e-05	0.023925	supercritical
201.33	60.000	112.86	0.0088605	125.99	179.16	5.1044	0.78647	1.3699	290.51	0.36030	1.5046e-05	0.023944	supercritical
202.00	60.000	112.28	0.0089062	126.63	180.07	5.1090	0.78596	1.3657	291.15	0.35830	1.5068e-05	0.023964	supercritical
202.67	60.000	111.71	0.0089516	127.27	180.98	5.1134	0.78545	1.3616	291.78	0.35630	1.5091e-05	0.023984	supercritical
203.33	60.000	111.15	0.0089970	127.90	181.88	5.1179	0.78496	1.3576	292.42	0.35432	1.5113e-05	0.024004	supercritical
204.00	60.000	110.59	0.0090422	128.53	182.79	5.1223	0.78448	1.3537	293.05	0.35235	1.5135e-05	0.024025	supercritical
204.67	60.000	110.04	0.0090872	129.16	183.69	5.1268	0.78400	1.3498	293.68	0.35040	1.5158e-05	0.024046	supercritical
205.33	60.000	109.50	0.0091322	129.79	184.59	5.1311	0.78353	1.3461	294.30	0.34845	1.5181e-05	0.024068	supercritical
206.00	60.000	108.97	0.0091770	130.42	185.48	5.1355	0.78307	1.3424	294.93	0.34653	1.5204e-05	0.024090	supercritical
206.67	60.000	108.44	0.0092217	131.05	186.38	5.1398	0.78262	1.3388	295.55	0.34461	1.5227e-05	0.024112	supercritical
207.33	60.000	107.92	0.0092663	131.67	187.27	5.1441	0.78218	1.3352	296.17	0.34271	1.5251e-05	0.024135	supercritical
208.00	60.000	107.40	0.0093107	132.29	188.16	5.1484	0.78175	1.3317	296.78	0.34082	1.5274e-05	0.024158	supercritical
208.67	60.000	106.89	0.0093550	132.91	189.04	5.1527	0.78132	1.3283	297.39	0.33894	1.5298e-05	0.024182	supercritical
209.33	60.000	106.39	0.0093993	133.53	189.93	5.1569	0.78090	1.3250	298.01	0.33707	1.5321e-05	0.024206	supercritical
210.00	60.000	105.89	0.0094434	134.15	190.81	5.1611	0.78049	1.3217	298.61	0.33522	1.5345e-05	0.024230	supercritical
210.67	60.000	105.40	0.0094873	134.77	191.69	5.1653	0.78009	1.3185	299.22	0.33338	1.5369e-05	0.024254	supercritical
211.33	60.000	104.92	0.0095312	135.38	192.57	5.1695	0.77969	1.3154	299.82	0.33155	1.5393e-05	0.024279	supercritical
212.00	60.000	104.44	0.0095750	135.99	193.44	5.1736	0.77930	1.3123	300.43	0.32974	1.5417e-05	0.024304	supercritical
212.67	60.000	103.96	0.0096187	136.61	194.32	5.1777	0.77892	1.3092	301.02	0.32793	1.5442e-05	0.024329	supercritical
213.33	60.000	103.50	0.0096622	137.22	195.19	5.1818	0.77854	1.3062	301.62	0.32614	1.5466e-05	0.024355	supercritical
214.00	60.000	103.03	0.0097057	137.83	196.06	5.1859	0.77817	1.3033	302.22	0.32436	1.5491e-05	0.024381	supercritical
214.67	60.000	102.57	0.0097490	138.43	196.93	5.1899	0.77780	1.3005	302.81	0.32259	1.5515e-05	0.024407	supercritical
215.33	60.000	102.12	0.0097923	139.04	197.79	5.1940	0.77745	1.2976	303.40	0.32084	1.5540e-05	0.024433	supercritical
216.00	60.000	101.67	0.0098354	139.65	198.66	5.1980	0.77709	1.2949	303.99	0.31909	1.5565e-05	0.024460	supercritical
216.67	60.000	101.23	0.0098785	140.25	199.52	5.2019	0.77675	1.2921	304.57	0.31736	1.5590e-05	0.024487	supercritical
217.33	60.000	100.79	0.0099215	140.85	200.38	5.2059	0.77641	1.2895	305.16	0.31564	1.5615e-05	0.024514	supercritical
218.00	60.000	100.36	0.0099643	141.45	201.24	5.2099	0.77607	1.2869	305.74	0.31393	1.5640e-05	0.024541	supercritical
218.67	60.000	99.929	0.010007	142.05	202.10	5.2138	0.77574	1.2843	306.32	0.31224	1.5665e-05	0.024569	supercritical
219.33	60.000	99.504	0.010050	142.65	202.95	5.2177	0.77542	1.2817	306.90	0.31055	1.5690e-05	0.024596	supercritical
220.00	60.000	99.084	0.010092	143.25	203.81	5.2216	0.77510	1.2793	307.47	0.30888	1.5716e-05	0.024624	supercritical
220.67	60.000	98.669	0.010135	143.85	204.66	5.2254	0.77478	1.2768	308.05	0.30721	1.5741e-05	0.024652	supercritical
221.33	60.000	98.257	0.010177	144.44	205.51	5.2293	0.77447	1.2744	308.62	0.30556	1.5767e-05	0.024681	supercritical
222.00	60.000	97.850	0.010220	145.04	206.36	5.2331	0.77417	1.2720	309.19	0.30392	1.5792e-05	0.024709	supercritical
222.67	60.000	97.447	0.010262	145.63	207.20	5.2369	0.77387	1.2697	309.76	0.30229	1.5818e-05	0.024738	supercritical
223.33	60.000	97.049	0.010304	146.22	208.05	5.2407	0.77358	1.2674	310.32	0.30067	1.5844e-05	0.024767	supercritical
224.00	60.000	96.654	0.010346	146.82	208.89	5.2445	0.77329	1.2652	310.89	0.29906	1.5869e-05	0.024796	supercritical
224.67	60.000	96.263	0.010388	147.41	209.74	5.2483	0.77300	1.2629	311.45	0.29746	1.5895e-05	0.024825	supercritical
225.33	60.000	95.876	0.010430	148.00	210.58	5.2520	0.77272	1.2608	312.01	0.29587	1.5921e-05	0.024854	supercritical
226.00	60.000	95.493	0.010472	148.59	211.42	5.2557	0.77244	1.2586	312.57	0.29429	1.5947e-05	0.024884	supercritical
226.67	60.000	95.113	0.010514	149.17	212.26	5.2594	0.77217	1.2565	313.12	0.29273	1.5973e-05	0.024914	supercritical
227.33	60.000	94.737	0.010555	149.76	213.09	5.2631	0.77190	1.2544	313.68	0.29117	1.5999e-05	0.024944	supercritical
228.00	60.000	94.365	0.010597	150.35	213.93	5.2668	0.77164	1.2524	314.23	0.28962	1.6026e-05	0.024974	supercritical
228.67	60.000	93.997	0.010639	150.93	214.76	5.2704	0.77138	1.2504	314.78	0.28809	1.6052e-05	0.025004	supercritical
229.33	60.000	93.632	0.010680	151.51	215.60	5.2741	0.77112	1.2484	315.33	0.28656	1.6078e-05	0.025034	supercritical
230.00	60.000	93.270	0.010722	152.10	216.43	5.2777	0.77087	1.2465	315.88	0.28504	1.6104e-05	0.025064	supercritical
230.67	60.000	92.912	0.010763	152.68	217.26	5.2813	0.77062	1.2445	316.43	0.28354	1.6131e-05	0.025095	supercritical
