#Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
368.67	60.000	53.969	0.018529	264.39	375.57	5.8217	0.75403	1.0992	406.73	0.099300	2.1754e-05	0.032458	supercritical
369.33	60.000	53.866	0.018565	264.91	376.30	5.8237	0.75403	1.0990	407.09	0.098775	2.1780e-05	0.032495	supercritical
370.00	60.000	53.763	0.018600	265.43	377.03	5.8257	0.75404	1.0988	407.46	0.098252	2.1806e-05	0.032531	supercritical
370.67	60.000	53.661	0.018636	265.95	377.77	5.8277	0.75404	1.0985	407.82	0.097732	2.1832e-05	0.032568	supercritical
371.33	60.000	53.559	0.018671	266.47	378.50	5.8296	0.75405	1.0983	408.19	0.097213	2.1859e-05	0.032604	supercritical
372.00	60.000	53.457	0.018706	266.99	379.23	5.8316	0.75405	1.0981	408.55	0.096697	2.1885e-05	0.032641	supercritical
372.67	60.000	53.356	0.018742	267.51	379.96	5.8336	0.75406	1.0979	408.91	0.096182	2.1911e-05	0.032678	supercritical
373.33	60.000	53.256	0.018777	268.03	380.70	5.8355	0.75407	1.0977	409.27	0.095670	2.1937e-05	0.032714	supercritical
374.00	60.000	53.156	0.018813	268.55	381.43	5.8375	0.75408	1.0975	409.63	0.095159	2.1963e-05	0.032751	supercritical
374.67	60.000	53.056	0.018848	269.07	382.16	5.8395	0.75408	1.0973	409.99	0.094651	2.1990e-05	0.032787	supercritical
375.33	60.000	52.956	0.018883	269.59	382.89	5.8414	0.75409	1.0971	410.35	0.094144	2.2016e-05	0.032824	supercritical
376.00	60.000	52.857	0.018919	270.11	383.62	5.8433	0.75410	1.0969	410.71	0.093640	2.2042e-05	0.032860	supercritical
376.67	60.000	52.759	0.018954	270.63	384.35	5.8453	0.75411	1.0967	411.07	0.093137	2.2068e-05	0.032897	supercritical
377.33	60.000	52.660	0.018990	271.15	385.08	5.8472	0.75412	1.0965	411.43	0.092636	2.2094e-05	0.032933	supercritical
378.00	60.000	52.563	0.019025	271.67	385.81	5.8492	0.75413	1.0963	411.79	0.092138	2.2120e-05	0.032970	supercritical
378.67	60.000	52.465	0.019060	272.18	386.55	5.8511	0.75414	1.0962	412.15	0.091641	2.2146e-05	0.033006	supercritical
379.33	60.000	52.368	0.019096	272.70	387.28	5.8530	0.75415	1.0960	412.51	0.091146	2.2172e-05	0.033043	supercritical
380.00	60.000	52.272	0.019131	273.22	388.01	5.8550	0.75417	1.0958	412.86	0.090653	2.2198e-05	0.033080	supercritical
380.67	60.000	52.175	0.019166	273.74	388.74	5.8569	0.75418	1.0956	413.22	0.090162	2.2224e-05	0.033116	supercritical
381.33	60.000	52.079	0.019201	274.26	389.47	5.8588	0.75419	1.0954	413.58	0.089673	2.2250e-05	0.033153	supercritical
382.00	60.000	51.984	0.019237	274.78	390.20	5.8607	0.75421	1.0952	413.93	0.089186	2.2276e-05	0.033189	supercritical
382.67	60.000	51.889	0.019272	275.30	390.93	5.8626	0.75422	1.0951	414.29	0.088700	2.2302e-05	0.033226	supercritical
383.33	60.000	51.794	0.019307	275.81	391.66	5.8645	0.75424	1.0949	414.64	0.088217	2.2328e-05	0.033262	supercritical
384.00	60.000	51.700	0.019343	276.33	392.39	5.8664	0.75425	1.0947	415.00	0.087735	2.2354e-05	0.033299	supercritical
384.67	60.000	51.606	0.019378	276.85	393.12	5.8683	0.75427	1.0945	415.35	0.087255	2.2380e-05	0.033335	supercritical
385.33	60.000	51.512	0.019413	277.37	393.85	5.8702	0.75428	1.0944	415.71	0.086777	2.2406e-05	0.033372	supercritical
386.00	60.000	51.419	0.019448	277.89	394.58	5.8721	0.75430	1.0942	416.06	0.086301	2.2432e-05	0.033408	supercritical
386.67	60.000	51.326	0.019483	278.41	395.31	5.8740	0.75432	1.0940	416.41	0.085826	2.2458e-05	0.033445	supercritical
387.33	60.000	51.233	0.019519	278.92	396.04	5.8759	0.75434	1.0939	416.76	0.085353	2.2484e-05	0.033481	supercritical
388.00	60.000	51.141	0.019554	279.44	396.76	5.8778	0.75435	1.0937	417.12	0.084883	2.2510e-05	0.033518	supercritical
388.67	60.000	51.049	0.019589	279.96	397.49	5.8796	0.75437	1.0935	417.47	0.084413	2.2536e-05	0.033554	supercritical
389.33	60.000	50.957	0.019624	280.48	398.22	5.8815	0.75439	1.0934	417.82	0.083946	2.2562e-05	0.033591	supercritical
390.00	60.000	50.866	0.019659	280.99	398.95	5.8834	0.75441	1.0932	418.17	0.083480	2.2587e-05	0.033627	supercritical
390.67	60.000	50.775	0.019695	281.51	399.68	5.8852	0.75443	1.0931	418.52	0.083017	2.2613e-05	0.033664	supercritical
391.33	60.000	50.685	0.019730	282.03	400.41	5.8871	0.75445	1.0929	418.87	0.082554	2.2639e-05	0.033700	supercritical
392.00	60.000	50.595	0.019765	282.55	401.14	5.8890	0.75447	1.0928	419.22	0.082094	2.2665e-05	0.033737	supercritical
392.67	60.000	50.505	0.019800	283.07	401.87	5.8908	0.75450	1.0926	419.57	0.081635	2.2691e-05	0.033773	supercritical
393.33	60.000	50.416	0.019835	283.58	402.59	5.8927	0.75452	1.0924	419.91	0.081178	2.2716e-05	0.033810	supercritical
394.00	60.000	50.327	0.019870	284.10	403.32	5.8945	0.75454	1.0923	420.26	0.080723	2.2742e-05	0.033846	supercritical
394.67	60.000	50.238	0.019905	284.62	404.05	5.8964	0.75456	1.0921	420.61	0.080270	2.2768e-05	0.033883	supercritical
395.33	60.000	50.149	0.019940	285.14	404.78	5.8982	0.75459	1.0920	420.96	0.079818	2.2794e-05	0.033919	supercritical
396.00	60.000	50.061	0.019976	285.65	405.51	5.9001	0.75461	1.0919	421.30	0.079367	2.2819e-05	0.033956	supercritical
396.67	60.000	49.973	0.020011	286.17	406.23	5.9019	0.75464	1.0917	421.65	0.078919	2.2845e-05	0.033992	supercritical
397.33	60.000	49.886	0.020046	286.69	406.96	5.9037	0.75466	1.0916	422.00	0.078472	2.2871e-05	0.034029	supercritical
398.00	60.000	49.799	0.020081	287.21	407.69	5.9056	0.75469	1.0914	422.34	0.078027	2.2896e-05	0.034065	supercritical
398.67	60.000	49.712	0.020116	287.72	408.42	5.9074	0.75472	1.0913	422.69	0.077583	2.2922e-05	0.034102	supercritical
399.33	60.000	49.626	0.020151	288.24	409.14	5.9092	0.75474	1.0912	423.03	0.077141	2.2948e-05	0.034138	supercritical
400.00	60.000	49.540	0.020186	288.76	409.87	5.9110	0.75477	1.0910	423.38	0.076701	2.2973e-05	0.034175	supercritical
400.67	60.000	49.454	0.020221	289.27	410.60	5.9128	0.75480	1.0909	423.72	0.076262	2.2999e-05	0.034211	supercritical
401.33	60.000	49.368	0.020256	289.79	411.33	5.9147	0.75483	1.0907	424.06	0.075825	2.3025e-05	0.034248	supercritical
402.00	60.000	49.283	0.020291	290.31	412.05	5.9165	0.75486	1.0906	424.41	0.075389	2.3050e-05	0.034284	supercritical
402.67	60.000	49.198	0.020326	290.82	412.78	5.9183	0.75488	1.0905	424.75	0.074955	2.3076e-05	0.034321	supercritical
403.33	60.000	49.114	0.020361	291.34	413.51	5.9201	0.75491	1.0904	425.09	0.074523	2.3101e-05	0.034357	supercritical
404.00	60.000	49.029	0.020396	291.86	414.23	5.9219	0.75494	1.0902	425.43	0.074092	2.3127e-05	0.034394	supercritical
404.67	60.000	48.945	0.020431	292.38	414.96	5.9237	0.75498	1.0901	425.77	0.073662	2.3152e-05	0.034430	supercritical
405.33	60.000	48.862	0.020466	292.89	415.69	5.9255	0.75501	1.0900	426.12	0.073235	2.3178e-05	0.034467	supercritical
406.00	60.000	48.778	0.020501	293.41	416.41	5.9273	0.75504	1.0899	426.46	0.072808	2.3203e-05	0.034503	supercritical
406.67	60.000	48.695	0.020536	293.93	417.14	5.9291	0.75507	1.0897	426.80	0.072384	2.3229e-05	0.034540	supercritical
407.33	60.000	48.613	0.020571	294.44	417.87	5.9308	0.75510	1.0896	427.14	0.071961	2.3254e-05	0.034576	supercritical
408.00	60.000	48.530	0.020606	294.96	418.59	5.9326	0.75514	1.0895	427.48	0.071539	2.3280e-05	0.034613	supercritical
408.67	60.000	48.448	0.020641	295.48	419.32	5.9344	0.75517	1.0894	427.81	0.071119	2.3305e-05	0.034649	supercritical
409.33	60.000	48.366	0.020676	295.99	420.05	5.9362	0.75521	1.0893	428.15	0.070700	2.3331e-05	0.034685	supercritical
410.00	60.000	48.285	0.020711	296.51	420.77	5.9379	0.75524	1.0891	428.49	0.070283	2.3356e-05	0.034722	supercritical
410.67	60.000	48.203	0.020745	297.03	421.50	5.9397	0.75528	1.0890	428.83	0.069868	2.3381e-05	0.034758	supercritical
411.33	60.000	48.122	0.020780	297.54	422.22	5.9415	0.75531	1.0889	429.17	0.069454	2.3407e-05	0.034795	supercritical
412.00	60.000	48.042	0.020815	298.06	422.95	5.9432	0.75535	1.0888	429.50	0.069041	2.3432e-05	0.034831	supercritical
412.67	60.000	47.961	0.020850	298.58	423.68	5.9450	0.75538	1.0887	429.84	0.068630	2.3458e-05	0.034868	supercritical
413.33	60.000	47.881	0.020885	299.09	424.40	5.9468	0.75542	1.0886	430.18	0.068220	2.3483e-05	0.034904	supercritical
414.00	60.000	47.801	0.020920	299.61	425.13	5.9485	0.75546	1.0885	430.51	0.067812	2.3508e-05	0.034941	supercritical
414.67	60.000	47.722	0.020955	300.12	425.85	5.9503	0.75550	1.0884	430.85	0.067405	2.3534e-05	0.034977	supercritical
415.33	60.000	47.642	0.020990	300.64	426.58	5.9520	0.75554	1.0883	431.18	0.066999	2.3559e-05	0.035014	supercritical
416.00	60.000	47.563	0.021025	301.16	427.30	5.9538	0.75557	1.0882	431.52	0.066596	2.3584e-05	0.035050	supercritical
416.67	60.000	47.485	0.021059	301.67	428.03	5.9555	0.75561	1.0881	431.85	0.066193	2.3609e-05	0.035087	supercritical
417.33	60.000	47.406	0.021094	302.19	428.76	5.9572	0.75565	1.0880	432.19	0.065792	2.3635e-05	0.035123	supercritical
418.00	60.000	47.328	0.021129	302.71	429.48	5.9590	0.75569	1.0879	432.52	0.065392	2.3660e-05	0.035159	supercritical
418.67	60.000	47.250	0.021164	303.22	430.21	5.9607	0.75574	1.0878	432.85	0.064994	2.3685e-05	0.035196	supercritical
419.33	60.000	47.173	0.021199	303.74	430.93	5.9624	0.75578	1.0877	433.19	0.064597	2.3710e-05	0.035232	supercritical
420.00	60.000	47.095	0.021234	304.25	431.66	5.9642	0.75582	1.0876	433.52	0.064201	2.3736e-05	0.035269	supercritical
420.67	60.000	47.018	0.021268	304.77	432.38	5.9659	0.75586	1.0875	433.85	0.063807	2.3761e-05	0.035305	supercritical
421.33	60.000	46.941	0.021303	305.29	433.11	5.9676	0.75590	1.0874	434.18	0.063415	2.3786e-05	0.035342	supercritical
422.00	60.000	46.865	0.021338	305.80	433.83	5.9693	0.75595	1.0873	434.51	0.063023	2.3811e-05	0.035378	supercritical
422.67	60.000	46.789	0.021373	306.32	434.56	5.9711	0.75599	1.0872	434.84	0.062633	2.3836e-05	0.035415	supercritical
423.33	60.000	46.713	0.021408	306.84	435.28	5.9728	0.75604	1.0871	435.18	0.062245	2.3862e-05	0.035451	supercritical
424.00	60.000	46.637	0.021442	307.35	436.01	5.9745	0.75608	1.0870	435.51	0.061857	2.3887e-05	0.035487	supercritical
424.67	60.000	46.561	0.021477	307.87	436.73	5.9762	0.75613	1.0869	435.84	0.061471	2.3912e-05	0.035524	supercritical
425.33	60.000	46.486	0.021512	308.38	437.45	5.9779	0.75617	1.0869	436.17	0.061087	2.3937e-05	0.035560	supercritical
426.00	60.000	46.411	0.021547	308.90	438.18	5.9796	0.75622	1.0868	436.49	0.060703	2.3962e-05	0.035597	supercritical
426.67	60.000	46.336	0.021581	309.42	438.90	5.9813	0.75626	1.0867	436.82	0.060321	2.3987e-05	0.035633	supercritical
427.33	60.000	46.262	0.021616	309.93	439.63	5.9830	0.75631	1.0866	437.15	0.059941	2.4012e-05	0.035670	supercritical
428.00	60.000	46.188	0.021651	310.45	440.35	5.9847	0.75636	1.0865	437.48	0.059561	2.4037e-05	0.035706	supercritical
428.67	60.000	46.114	0.021686	310.96	441.08	5.9864	0.75641	1.0865	437.81	0.059183	2.4062e-05	0.035742	supercritical
429.33	60.000	46.040	0.021720	311.48	441.80	5.9881	0.75646	1.0864	438.14	0.058806	2.4087e-05	0.035779	supercritical
430.00	60.000	45.966	0.021755	312.00	442.53	5.9897	0.75650	1.0863	438.46	0.058431	2.4112e-05	0.035815	supercritical
430.67	60.000	45.893	0.021790	312.51	443.25	5.9914	0.75655	1.0862	438.79	0.058057	2.4137e-05	0.035852	supercritical
431.33	60.000	45.820	0.021824	313.03	443.97	5.9931	0.75660	1.0861	439.12	0.057684	2.4162e-05	0.035888	supercritical
432.00	60.000	45.748	0.021859	313.54	444.70	5.9948	0.75665	1.0861	439.44	0.057312	2.4187e-05	0.035925	supercritical
432.67	60.000	45.675	0.021894	314.06	445.42	5.9965	0.75671	1.0860	439.77	0.056942	2.4212e-05	0.035961	supercritical
433.33	60.000	45.603	0.021928	314.57	446.15	5.9981	0.75676	1.0859	440.09	0.056573	2.4237e-05	0.035998	supercritical
434.00	60.000	45.531	0.021963	315.09	446.87	5.9998	0.75681	1.0859	440.42	0.056205	2.4262e-05	0.036034	supercritical
434.67	60.000	45.459	0.021998	315.61	447.59	6.0015	0.75686	1.0858	440.74	0.055838	2.4287e-05	0.036070	supercritical
435.33	60.000	45.388	0.022032	316.12	448.32	6.0031	0.75691	1.0857	441.07	0.055473	2.4312e-05	0.036107	supercritical
436.00	60.000	45.316	0.022067	316.64	449.04	6.0048	0.75697	1.0857	441.39	0.055109	2.4337e-05	0.036143	supercritical
436.67	60.000	45.245	0.022102	317.15	449.76	6.0065	0.75702	1.0856	441.71	0.054746	2.4362e-05	0.036180	supercritical
437.33	60.000	45.174	0.022136	317.67	450.49	6.0081	0.75707	1.0855	442.04	0.054384	2.4386e-05	0.036216	supercritical
438.00	60.000	45.104	0.022171	318.19	451.21	6.0098	0.75713	1.0855	442.36	0.054024	2.4411e-05	0.036253	supercritical
438.67	60.000	45.033	0.022206	318.70	451.94	6.0114	0.75718	1.0854	442.68	0.053665	2.4436e-05	0.036289	supercritical
439.33	60.000	44.963	0.022240	319.22	452.66	6.0131	0.75724	1.0853	443.00	0.053307	2.4461e-05	0.036325	supercritical
440.00	60.000	44.893	0.022275	319.73	453.38	6.0147	0.75730	1.0853	443.33	0.052950	2.4486e-05	0.036362	supercritical
440.67	60.000	44.824	0.022310	320.25	454.11	6.0164	0.75735	1.0852	443.65	0.052594	2.4510e-05	0.036398	supercritical
441.33	60.000	44.754	0.022344	320.76	454.83	6.0180	0.75741	1.0852	443.97	0.052240	2.4535e-05	0.036435	supercritical
442.00	60.000	44.685	0.022379	321.28	455.55	6.0196	0.75747	1.0851	444.29	0.051887	2.4560e-05	0.036471	supercritical
442.67	60.000	44.616	0.022413	321.80	456.28	6.0213	0.75752	1.0850	444.61	0.051535	2.4585e-05	0.036508	supercritical
443.33	60.000	44.547	0.022448	322.31	457.00	6.0229	0.75758	1.0850	444.93	0.051184	2.4610e-05	0.036544	supercritical
444.00	60.000	44.479	0.022483	322.83	457.72	6.0245	0.75764	1.0849	445.25	0.050834	2.4634e-05	0.036580	supercritical
444.67	60.000	44.411	0.022517	323.34	458.45	6.0262	0.75770	1.0849	445.57	0.050486	2.4659e-05	0.036617	supercritical
445.33	60.000	44.342	0.022552	323.86	459.17	6.0278	0.75776	1.0848	445.89	0.050138	2.4684e-05	0.036653	supercritical
446.00	60.000	44.275	0.022586	324.38	459.89	6.0294	0.75782	1.0848	446.21	0.049792	2.4708e-05	0.036690	supercritical
446.67	60.000	44.207	0.022621	324.89	460.62	6.0310	0.75788	1.0847	446.52	0.049447	2.4733e-05	0.036726	supercritical
447.33	60.000	44.139	0.022655	325.41	461.34	6.0326	0.75794	1.0847	446.84	0.049103	2.4758e-05	0.036762	supercritical
448.00	60.000	44.072	0.022690	325.92	462.06	6.0343	0.75800	1.0846	447.16	0.048760	2.4782e-05	0.036799	supercritical
448.67	60.000	44.005	0.022725	326.44	462.79	6.0359	0.75806	1.0846	447.48	0.048418	2.4807e-05	0.036835	supercritical
449.33	60.000	43.938	0.022759	326.95	463.51	6.0375	0.75813	1.0845	447.80	0.048078	2.4832e-05	0.036872	supercritical
450.00	60.000	43.872	0.022794	327.47	464.23	6.0391	0.75819	1.0845	448.11	0.047739	2.4856e-05	0.036908	supercritical
450.67	60.000	43.806	0.022828	327.99	464.95	6.0407	0.75825	1.0844	448.43	0.047400	2.4881e-05	0.036945	supercritical
451.33	60.000	43.739	0.022863	328.50	465.68	6.0423	0.75831	1.0844	448.74	0.047063	2.4905e-05	0.036981	supercritical
452.00	60.000	43.673	0.022897	329.02	466.40	6.0439	0.75838	1.0844	449.06	0.046727	2.4930e-05	0.037017	supercritical
452.67	60.000	43.608	0.022932	329.53	467.12	6.0455	0.75844	1.0843	449.38	0.046392	2.4954e-05	0.037054	supercritical
453.33	60.000	43.542	0.022966	330.05	467.85	6.0471	0.75851	1.0843	449.69	0.046058	2.4979e-05	0.037090	supercritical
454.00	60.000	43.477	0.023001	330.56	468.57	6.0487	0.75857	1.0842	450.01	0.045726	2.5003e-05	0.037127	supercritical
454.67	60.000	43.412	0.023035	331.08	469.29	6.0503	0.75864	1.0842	450.32	0.045394	2.5028e-05	0.037163	supercritical
455.33	60.000	43.347	0.023070	331.60	470.01	6.0519	0.75870	1.0842	450.63	0.045063	2.5052e-05	0.037200	supercritical
456.00	60.000	43.282	0.023104	332.11	470.74	6.0535	0.75877	1.0841	450.95	0.044734	2.5077e-05	0.037236	supercritical
456.67	60.000	43.218	0.023139	332.63	471.46	6.0550	0.75884	1.0841	451.26	0.044405	2.5101e-05	0.037272	supercritical
457.33	60.000	43.153	0.023173	333.14	472.18	6.0566	0.75891	1.0841	451.57	0.044078	2.5126e-05	0.037309	supercritical
458.00	60.000	43.089	0.023208	333.66	472.91	6.0582	0.75897	1.0840	451.89	0.043752	2.5150e-05	0.037345	supercritical
458.67	60.000	43.025	0.023242	334.18	473.63	6.0598	0.75904	1.0840	452.20	0.043426	2.5175e-05	0.037382	supercritical
459.33	60.000	42.962	0.023277	334.69	474.35	6.0613	0.75911	1.0840	452.51	0.043102	2.5199e-05	0.037418	supercritical
460.00	60.000	42.898	0.023311	335.21	475.07	6.0629	0.75918	1.0839	452.82	0.042779	2.5224e-05	0.037455	supercritical
460.67	60.000	42.835	0.023346	335.72	475.80	6.0645	0.75925	1.0839	453.14	0.042457	2.5248e-05	0.037491	supercritical
461.33	60.000	42.772	0.023380	336.24	476.52	6.0661	0.75932	1.0839	453.45	0.042136	2.5272e-05	0.037527	supercritical
462.00	60.000	42.709	0.023414	336.75	477.24	6.0676	0.75939	1.0838	453.76	0.041816	2.5297e-05	0.037564	supercritical
462.67	60.000	42.646	0.023449	337.27	477.96	6.0692	0.75946	1.0838	454.07	0.041497	2.5321e-05	0.037600	supercritical
463.33	60.000	42.583	0.023483	337.79	478.69	6.0707	0.75953	1.0838	454.38	0.041179	2.5345e-05	0.037637	supercritical
464.00	60.000	42.521	0.023518	338.30	479.41	6.0723	0.75960	1.0838	454.69	0.040862	2.5370e-05	0.037673	supercritical
464.67	60.000	42.459	0.023552	338.82	480.13	6.0739	0.75968	1.0837	455.00	0.040546	2.5394e-05	0.037710	supercritical
465.33	60.000	42.397	0.023587	339.33	480.85	6.0754	0.75975	1.0837	455.31	0.040231	2.5418e-05	0.037746	supercritical
466.00	60.000	42.335	0.023621	339.85	481.58	6.0770	0.75982	1.0837	455.62	0.039917	2.5443e-05	0.037782	supercritical
466.67	60.000	42.274	0.023655	340.37	482.30	6.0785	0.75989	1.0837	455.93	0.039605	2.5467e-05	0.037819	supercritical
467.33	60.000	42.212	0.023690	340.88	483.02	6.0801	0.75997	1.0837	456.23	0.039293	2.5491e-05	0.037855	supercritical
468.00	60.000	42.151	0.023724	341.40	483.74	6.0816	0.76004	1.0836	456.54	0.038982	2.5515e-05	0.037892	supercritical
468.67	60.000	42.090	0.023759	341.91	484.47	6.0831	0.76012	1.0836	456.85	0.038672	2.5540e-05	0.037928	supercritical
469.33	60.000	42.029	0.023793	342.43	485.19	6.0847	0.76019	1.0836	457.16	0.038363	2.5564e-05	0.037964	supercritical
470.00	60.000	41.969	0.023827	342.95	485.91	6.0862	0.76027	1.0836	457.47	0.038055	2.5588e-05	0.038001	supercritical
470.67	60.000	41.908	0.023862	343.46	486.63	6.0878	0.76034	1.0836	457.77	0.037748	2.5612e-05	0.038037	supercritical
471.33	60.000	41.848	0.023896	343.98	487.36	6.0893	0.76042	1.0836	458.08	0.037442	2.5637e-05	0.038074	supercritical
472.00	60.000	41.788	0.023930	344.50	488.08	6.0908	0.76050	1.0835	458.39	0.037137	2.5661e-05	0.038110	supercritical
472.67	60.000	41.728	0.023965	345.01	488.80	6.0924	0.76057	1.0835	458.69	0.036833	2.5685e-05	0.038147	supercritical
473.33	60.000	41.668	0.023999	345.53	489.52	6.0939	0.76065	1.0835	459.00	0.036530	2.5709e-05	0.038183	supercritical
474.00	60.000	41.608	0.024034	346.04	490.25	6.0954	0.76073	1.0835	459.30	0.036228	2.5733e-05	0.038219	supercritical
474.67	60.000	41.549	0.024068	346.56	490.97	6.0969	0.76081	1.0835	459.61	0.035927	2.5757e-05	0.038256	supercritical
475.33	60.000	41.490	0.024102	347.08	491.69	6.0985	0.76089	1.0835	459.91	0.035627	2.5781e-05	0.038292	supercritical
476.00	60.000	41.431	0.024137	347.59	492.41	6.1000	0.76097	1.0835	460.22	0.035328	2.5805e-05	0.038329	supercritical
476.67	60.000	41.372	0.024171	348.11	493.13	6.1015	0.76105	1.0835	460.52	0.035029	2.5830e-05	0.038365	supercritical
477.33	60.000	41.313	0.024205	348.62	493.86	6.1030	0.76113	1.0835	460.83	0.034732	2.5854e-05	0.038402	supercritical
478.00	60.000	41.255	0.024240	349.14	494.58	6.1045	0.76121	1.0834	461.13	0.034436	2.5878e-05	0.038438	supercritical
478.67	60.000	41.196	0.024274	349.66	495.30	6.1060	0.76129	1.0834	461.43	0.034140	2.5902e-05	0.038475	supercritical
479.33	60.000	41.138	0.024308	350.17	496.02	6.1075	0.76137	1.0834	461.74	0.033846	2.5926e-05	0.038511	supercritical
480.00	60.000	41.080	0.024343	350.69	496.75	6.1090	0.76145	1.0834	462.04	0.033552	2.5950e-05	0.038547	supercritical
480.67	60.000	41.022	0.024377	351.21	497.47	6.1105	0.76153	1.0834	462.34	0.033259	2.5974e-05	0.038584	supercritical
481.33	60.000	40.965	0.024411	351.72	498.19	6.1120	0.76162	1.0834	462.64	0.032968	2.5998e-05	0.038620	supercritical
482.00	60.000	40.907	0.024445	352.24	498.91	6.1135	0.76170	1.0834	462.95	0.032677	2.6022e-05	0.038657	supercritical
482.67	60.000	40.850	0.024480	352.76	499.63	6.1150	0.76178	1.0834	463.25	0.032387	2.6046e-05	0.038693	supercritical
483.33	60.000	40.793	0.024514	353.27	500.36	6.1165	0.76186	1.0834	463.55	0.032098	2.6070e-05	0.038730	supercritical
484.00	60.000	40.736	0.024548	353.79	501.08	6.1180	0.76195	1.0834	463.85	0.031810	2.6094e-05	0.038766	supercritical
484.67	60.000	40.679	0.024583	354.31	501.80	6.1195	0.76203	1.0834	464.15	0.031522	2.6118e-05	0.038802	supercritical
485.33	60.000	40.622	0.024617	354.82	502.52	6.1210	0.76212	1.0834	464.45	0.031236	2.6141e-05	0.038839	supercritical
486.00	60.000	40.566	0.024651	355.34	503.25	6.1225	0.76220	1.0834	464.75	0.030951	2.6165e-05	0.038875	supercritical
486.67	60.000	40.510	0.024685	355.86	503.97	6.1240	0.76229	1.0834	465.05	0.030666	2.6189e-05	0.038912	supercritical
487.33	60.000	40.453	0.024720	356.37	504.69	6.1255	0.76238	1.0834	465.35	0.030382	2.6213e-05	0.038948	supercritical
488.00	60.000	40.397	0.024754	356.89	505.41	6.1269	0.76246	1.0834	465.65	0.030100	2.6237e-05	0.038985	supercritical
488.67	60.000	40.342	0.024788	357.41	506.14	6.1284	0.76255	1.0834	465.95	0.029818	2.6261e-05	0.039021	supercritical
489.33	60.000	40.286	0.024823	357.92	506.86	6.1299	0.76264	1.0835	466.25	0.029537	2.6285e-05	0.039058	supercritical
490.00	60.000	40.230	0.024857	358.44	507.58	6.1314	0.76272	1.0835	466.55	0.029256	2.6309e-05	0.039094	supercritical
490.67	60.000	40.175	0.024891	358.96	508.30	6.1328	0.76281	1.0835	466.84	0.028977	2.6332e-05	0.039130	supercritical
491.33	60.000	40.120	0.024925	359.47	509.02	6.1343	0.76290	1.0835	467.14	0.028699	2.6356e-05	0.039167	supercritical
492.00	60.000	40.065	0.024960	359.99	509.75	6.1358	0.76299	1.0835	467.44	0.028421	2.6380e-05	0.039203	supercritical
492.67	60.000	40.010	0.024994	360.51	510.47	6.1373	0.76308	1.0835	467.74	0.028144	2.6404e-05	0.039240	supercritical
493.33	60.000	39.955	0.025028	361.02	511.19	6.1387	0.76317	1.0835	468.03	0.027868	2.6428e-05	0.039276	supercritical
494.00	60.000	39.901	0.025062	361.54	511.91	6.1402	0.76326	1.0835	468.33	0.027593	2.6451e-05	0.039313	supercritical
494.67	60.000	39.846	0.025096	362.06	512.64	6.1416	0.76335	1.0835	468.63	0.027319	2.6475e-05	0.039349	supercritical
495.33	60.000	39.792	0.025131	362.57	513.36	6.1431	0.76344	1.0836	468.92	0.027046	2.6499e-05	0.039386	supercritical
496.00	60.000	39.738	0.025165	363.09	514.08	6.1446	0.76353	1.0836	469.22	0.026773	2.6523e-05	0.039422	supercritical
496.67	60.000	39.684	0.025199	363.61	514.80	6.1460	0.76362	1.0836	469.52	0.026501	2.6546e-05	0.039458	supercritical
497.33	60.000	39.630	0.025233	364.13	515.53	6.1475	0.76371	1.0836	469.81	0.026231	2.6570e-05	0.039495	supercritical
498.00	60.000	39.577	0.025268	364.64	516.25	6.1489	0.76381	1.0836	470.11	0.025961	2.6594e-05	0.039531	supercritical
498.67	60.000	39.523	0.025302	365.16	516.97	6.1504	0.76390	1.0836	470.40	0.025691	2.6617e-05	0.039568	supercritical
499.33	60.000	39.470	0.025336	365.68	517.69	6.1518	0.76399	1.0836	470.70	0.025423	2.6641e-05	0.039604	supercritical
500.00	60.000	39.416	0.025370	366.20	518.42	6.1533	0.76408	1.0837	470.99	0.025155	2.6665e-05	0.039641	supercritical
