y,HR
0.4734212440221285, 120175504.00824463
0.4786114880388639, 114433080.72097123
0.48380896584516986, 107810546.36930382
0.48899920986190537, 102068123.08203077
0.4941786031942854, 97645866.39134872
0.4993652303162357, 92343498.63627255
0.5045410067538305, 88361297.47778761
0.5097276338757808, 83058929.72271144
0.5149034103133756, 79076728.56422663
0.5200791867509704, 75094527.40574181
0.5252477293989949, 71992437.31165099
0.5304235058365897, 68010236.15316606
0.5355956653793994, 64468090.52687824
0.5407678249222089, 60925944.90059066
0.5459399844650186, 57383799.27430272
0.5511121440078282, 53841653.6480149
0.5562770697610675, 51179619.08612132
0.5614528461986623, 47197417.927636504
0.5666213888466868, 44095327.833545685
0.5717935483894963, 40553182.20725787
0.5769584741427356, 37891147.645364285
0.5821306336855452, 34349002.01907647
0.5872991763335697, 31246911.924985886
