x,YH2,YO2,YN2,Tadiabatic,pressure,YH2equ,YO2equ,YN2equ,YH2Oequ,YHequ,YOequ,YOHequ,YHO2equ,YH2O2equ
0.00364671147240227,0.04974795271769069,0.024535344606710627,0.9257167026755987,518.5609750573905,101325.00000011902,0.04665630606932719,9.085608847656625e-47,0.9257167026756128,0.027626991255060167,1.6877696167272884e-21,6.405879518759469e-46,5.239053630765478e-27,2.0004469448215244e-50,7.018924488620143e-39
0.0036713514147833663,0.048685131406480536,0.02898706937525273,0.9223277992182668,560.3709749314371,101324.99999999987,0.04503253237775933,6.301613009780867e-43,0.922327799218268,0.032639668403972484,7.355834954257826e-20,4.063429490361376e-42,8.1624247031450495e-25,1.6523976191561374e-46,4.3055691147690535e-36
0.003695991357164463,0.04746104149254134,0.03411428251195674,0.9184246759955019,609.3331877447827,101325.00000000169,0.04316237322926856,4.328038480646545e-39,0.918424675995503,0.03841295077522844,3.165982373230969e-18,2.5356414520328595e-38,1.257347680109613e-22,1.3416764235250241e-42,2.6083175919806257e-33
0.003720631299545559,0.04606287456892562,0.03997063320681569,0.9139664922242587,666.2855188062452,101325.00000000962,0.04102625999645592,2.529565570919999e-35,0.9139664922242635,0.0450072477792805,1.2552704200932162e-16,1.333278446559495e-34,1.7528016837508495e-20,9.165798071112135e-39,1.3997744634341559e-30
0.003745271241926656,0.044480946283278436,0.04659668525996315,0.9089223684567584,731.9842020002606,101325.00000000017,0.03860939696868697,1.0912927742773811e-31,0.9089223684567594,0.05246823457454931,4.294056568250604e-15,5.107976533262271e-31,2.0347886635042358e-18,4.553399570625452e-35,6.009558788432803e-28
0.003769911184307752,0.04271019203279402,0.05401365222584662,0.9032761557413593,807.0179133220578,101325.00000026752,0.03590404646811944,3.0737893123808896e-28,0.903276155741365,0.06081979779039578,1.197160158266611e-13,1.2574953157321196e-27,1.830316708140176e-16,1.4503632868780507e-31,1.889923763174274e-25
0.0037945511266888484,0.04075170339677318,0.06221696192421445,0.8970313346790124,891.7277967232103,101325.00000000003,0.03291187620252161,5.146348715441269e-25,0.8970313346790117,0.07005678911585275,2.6019279761891812e-12,1.8063630847132922e-24,1.2068342750896426e-14,2.6897505249898787e-28,4.068542825637118e-23
0.003819191069069945,0.03861410311560555,0.07117049721424487,0.8902153996701496,986.1851451363481,101325.00000000009,0.029646059921100316,4.840238218144965e-22,0.8902153996701486,0.0801385403653409,4.284666062776239e-11,1.4272726299476423e-21,5.63655635534546e-13,2.7391036359262366e-25,5.7514438178023586e-21
0.0038438310114510413,0.036314505348971314,0.08080257386479063,0.8828829207862381,1090.2699811122739,101325.0000000002,0.026132744154342653,2.5211375745925915e-19,0.8828829207862368,0.09098433451224654,5.287174042792225e-10,6.098108281790002e-19,1.8456462893757753e-11,1.5078665750417957e-22,5.275923075441926e-19
0.003868470953832138,0.033878798903966875,0.09100475422733689,0.8751164468686963,1203.5601388398288,101325.00000000032,0.022411478302032068,7.384935997447707e-17,0.875116446868697,0.10247206951581934,4.887313793146045e-09,1.424627777619004e-16,4.261375109667921e-10,4.548281111093105e-20,3.166738599346987e-17
0.0038931108962132342,0.03134104610842381,0.10163436511036728,0.8670245887812089,1325.2144801492145,101325.0000000018,0.018534282080491623,1.2634218655682231e-14,0.8670245887812101,0.11444108806222753,3.402149895954993e-08,1.876324481992764e-14,7.0545390117324804e-09,7.78194743359001e-18,1.2724603341744031e-15
0.0039177508385943305,0.028741915892472596,0.11252106096128286,0.8587370231462446,1453.9805817069641,101325.0000000087,0.014563201377633905,1.3444747931314722e-12,0.8587370231462429,0.1266995096561099,1.7977502633492754e-07,1.464053646534608e-12,8.604214211046616e-08,7.993874946606951e-16,3.55567721870183e-14
0.003942390780975427,0.02612624795915618,0.12347702656171633,0.8503967254791275,1588.1983534949607,101325.00000002977,0.010566493415628604,9.821981660486589e-11,0.8503967254791184,0.1390352528539369,7.244092832881294e-07,7.268206425669559e-11,8.036703453319926e-07,5.3704234142672155e-14,7.318509190628783e-13
0.003967030723356524,0.023540031089730903,0.13430963367356735,0.8421503352367017,1725.8212398879011,101325.00000007369,0.00661412671453205,5.906726144228313e-09,0.8421503352366712,0.15122722592171364,2.195853709882774e-06,2.5742146265880166e-09,6.107777435971613e-06,2.7376018639645934e-12,1.2258963195449094e-11
0.00399167066573762,0.021027215201228994,0.1448347940289737,0.8341379907697973,1864.4016962058374,101325.00000000044,0.0027750696014634765,5.067258041796099e-07,0.8341379907697978,0.16303785765201956,4.502775234293526e-06,8.763760798318223e-08,4.3984454299658125e-05,1.618638117682605e-10,2.2190911653692417e-10
0.004016310608118716,0.018626816967519937,0.15488908270257973,0.8264841003299004,1924.249452557476,101324.99999999988,3.8983494503715024e-05,0.007054734744409547,0.8264841003299008,0.1657440469609678,8.277456070888775e-07,1.698704126947741e-05,0.0006600099731171548,2.7588337189881986e-07,3.382685260404495e-08
0.004040950550499813,0.01637070825765073,0.16433900144085992,0.8192902903014894,1776.185474332668,101325.00000014642,4.180314284490858e-06,0.0342580204879591,0.819290290301383,0.146040604226584,8.279570607078426e-08,9.844596649294171e-06,0.0003965174604517605,4.2282432302222756e-07,3.6992659203092924e-08
0.004065590492880909,0.01428232039487447,0.17308640599229677,0.8126312736128287,1628.6107829449238,101325.00000004654,5.895961747108442e-07,0.059669172330919375,0.8126312736127841,0.12753778693736798,7.735879061931285e-09,2.705399398256627e-06,0.00015817819820123342,2.644434467572575e-07,2.1745828541115884e-08
